授信日期,消费分期分数,卡车信贷分数,Y
2016-02-13,0.7245775007659594,0.6905292832747291,1
2015-12-24,0.17919942277055045,0.11704612275651892,1
2016-02-19,0.2312108311716283,0.3338959471730498,0
2016-02-19,0.11296915978594665,0.10886271361696816,0
2015-12-20,0.15601343957552008,0.16506313230540612,0
2016-01-24,0.1686920205445098,0.2241071173992356,0
2016-03-23,0.08215700499400684,0.03244718207849976,0
2015-12-15,0.4757248407911219,0.6578917323439379,1
2015-12-09,0.04136674297121068,0.024174785889320045,0
2016-01-18,0.10588390054586122,0.07147834695711504,0
2016-06-11,0.2850171941541317,0.3822830109866538,1
2016-01-25,0.07390912744850539,0.0442718797564688,0
2016-01-12,0.18307754200379545,0.11675304039683908,0
2016-04-11,0.16230422507645273,0.14239749437898944,0
2016-02-26,0.12352499580591615,0.03238520759677596,0
